variable,mean,min,median,max,nmissing,sum
Error,0.0,false,0.0,false,0,0
Warning,0.0,false,0.0,false,0,0
VarCnt,0.05806451612903226,0,0.0,2,0,72
HasWhere,0.04435483870967742,false,0.0,true,0,55
VarsUsedOnce,0.9887096774193549,false,1.0,true,0,1226
UseSiteVariance,0.9967741935483871,false,1.0,true,0,1236
RestrictedScope,0.9991935483870967,false,1.0,true,0,1239
