File,Function,Kind,TypeAnnotation
"src/Gen.jl","load_generated_functions","mtsig","Tuple{Module}"
"src/address.jl","Base.keys","mtsig","Tuple{StaticAddressSchema}"
"src/address.jl","Base.in","mtsig","Tuple{Any, Selection}"
"src/address.jl","Base.getindex","mtsig","Tuple{Selection, Any}"
"src/address.jl","get_address_schema","mtsig","Tuple{Type{EmptySelection}}"
"src/address.jl","Base.isempty","mtsig","Tuple{EmptySelection}"
"src/address.jl","get_address_schema","mtsig","Tuple{Type{AllSelection}}"
"src/address.jl","Base.isempty","mtsig","Tuple{AllSelection}"
"src/address.jl","Base.in","mtsig","Tuple{Any, AllSelection}"
"src/address.jl","Base.getindex","mtsig","Tuple{AllSelection, Any}"
"src/address.jl","get_address_schema","mtsig","Tuple{Type{ComplementSelection}}"
"src/address.jl","Base.isempty","mtsig","Tuple{ComplementSelection}"
"src/address.jl","Base.in","mtsig","Tuple{Any, ComplementSelection}"
"src/address.jl","Base.getindex","mtsig","Tuple{ComplementSelection, Any}"
"src/address.jl","complement","mtsig","Tuple{Selection}"
"src/address.jl","Base.isempty","mtsig","(Tuple{StaticSelection{T, U}} where U) where T"
"src/address.jl","get_address_schema","mtsig","(Tuple{Type{StaticSelection{T, U}}} where U) where T"
"src/address.jl","get_subselections","mtsig","Tuple{StaticSelection}"
"src/address.jl","static_getindex","mtsig","Tuple{StaticSelection, Val{A}} where A"
"src/address.jl","Base.getindex","mtsig","Tuple{StaticSelection, Symbol}"
"src/address.jl","Base.getindex","mtsig","Tuple{StaticSelection, Pair}"
"src/address.jl","Base.in","mtsig","(Tuple{Symbol, StaticSelection{T, U}} where U) where T"
"src/address.jl","Base.in","mtsig","Tuple{Pair, StaticSelection}"
"src/address.jl","StaticSelection","mtsig","Tuple{HierarchicalSelection}"
"src/address.jl","Base.isempty","mtsig","Tuple{DynamicSelection}"
"src/address.jl","DynamicSelection","mtsig","Tuple{}"
"src/address.jl","get_address_schema","mtsig","Tuple{Type{DynamicSelection}}"
"src/address.jl","Base.in","mtsig","Tuple{Any, DynamicSelection}"
"src/address.jl","Base.in","mtsig","Tuple{Pair, DynamicSelection}"
"src/address.jl","Base.getindex","mtsig","Tuple{DynamicSelection, Any}"
"src/address.jl","Base.getindex","mtsig","Tuple{DynamicSelection, Pair}"
"src/address.jl","Base.push!","mtsig","Tuple{DynamicSelection, Any}"
"src/address.jl","Base.push!","mtsig","Tuple{DynamicSelection, Pair}"
"src/address.jl","set_subselection!","mtsig","Tuple{DynamicSelection, Any, Selection}"
"src/address.jl","set_subselection!","mtsig","Tuple{DynamicSelection, Pair, Selection}"
"src/address.jl","get_subselections","mtsig","Tuple{DynamicSelection}"
"src/address.jl","select","mtsig","Tuple{Vararg{Any}}"
"src/address.jl","selectall","mtsig","Tuple{}"
"src/backprop.jl","new_tape","mtsig","Tuple{}"
"src/backprop.jl","track","mtsig","Tuple{Any, Any}"
"src/backprop.jl","value","mtsig","Tuple{Any}"
"src/backprop.jl","deriv!","mtsig","Tuple{Any, Any}"
"src/backprop.jl","reverse_pass!","mtsig","Tuple{Any}"
