File,Function,Kind,TypeAnnotation
"deps/build.jl","write_if_changed","mtsig","Tuple{Any, Any}"
"deps/kspec.jl","copy_config","mtsig","Tuple{Any, Any}"
"deps/kspec.jl","appdata","mtsig","Tuple{}"
"deps/kspec.jl","default_jupyter_data_dir","mtsig","Tuple{}"
"deps/kspec.jl","default_jupyter_data_dir","mtsig","Tuple{}"
"deps/kspec.jl","default_jupyter_data_dir","mtsig","Tuple{}"
"deps/kspec.jl","default_jupyter_data_dir","mtsig","Tuple{}"
"deps/kspec.jl","default_jupyter_data_dir","mtsig","Tuple{}"
"deps/kspec.jl","jupyter_data_dir","mtsig","Tuple{}"
"deps/kspec.jl","kerneldir","mtsig","Tuple{}"
"deps/kspec.jl","exe","mtsig","Tuple{AbstractString}"
"deps/kspec.jl","exe","mtsig","Tuple{AbstractString, AbstractString}"
"deps/kspec.jl","exe","mtsig","Tuple{AbstractString}"
"deps/kspec.jl","exe","mtsig","Tuple{AbstractString, AbstractString}"
"deps/kspec.jl","installkernel","mtsig","Tuple{AbstractString, Vararg{AbstractString}, Cmd, AbstractString, Dict{<:AbstractString}}"
"deps/kspec.jl","<NA-name>","mtsig","Tuple{Any}"
"src/IJulia.jl","set_verbose","mtsig","Tuple{Bool}"
"src/IJulia.jl","set_current_module","mtsig","Tuple{Module}"
"src/IJulia.jl","load_string","mtsig","Tuple{AbstractString, Bool}"
"src/IJulia.jl","load","mtsig","Tuple{AbstractString, Bool}"
"src/IJulia.jl","clear_history","mtsig","Tuple{Any}"
"src/IJulia.jl","clear_history","mtsig","Tuple{AbstractRange{<:Integer}}"
"src/IJulia.jl","clear_history","mtsig","Tuple{}"
"src/IJulia.jl","history","mtsig","Tuple{IO, AbstractVector{<:Integer}}"
"src/IJulia.jl","history","mtsig","Tuple{IO, Vararg{Union{Integer, AbstractVector{<:Integer}}}}"
"src/IJulia.jl","history","mtsig","Tuple{Vararg{Any}}"
"src/IJulia.jl","history","mtsig","Tuple{IO, Vararg{Any}}"
"src/IJulia.jl","history","mtsig","Tuple{}"
"src/IJulia.jl","push_postexecute_hook","mtsig","Tuple{Function}"
"src/IJulia.jl","pop_postexecute_hook","mtsig","Tuple{Function}"
"src/IJulia.jl","push_preexecute_hook","mtsig","Tuple{Function}"
"src/IJulia.jl","pop_preexecute_hook","mtsig","Tuple{Function}"
"src/IJulia.jl","push_posterror_hook","mtsig","Tuple{Function}"
"src/IJulia.jl","pop_posterror_hook","mtsig","Tuple{Function}"
"src/IJulia.jl","clear_output","mtsig","Tuple{Any}"
"src/IJulia.jl","set_max_stdio","mtsig","Tuple{Integer}"
"src/comm_manager.jl","::Type{Comm{target}}","mtsig","Tuple{Any, Any, Any, Any} where target"
"src/comm_manager.jl","noop_callback","mtsig","Tuple{Any}"
"src/comm_manager.jl","Comm","mtsig","Tuple{Any, Any, Any, Any, Any, Any, Any}"
"src/comm_manager.jl","comm_target","mtsig","Tuple{Comm{target}} where target"
"src/comm_manager.jl","comm_info_request","mtsig","Tuple{Any, Any}"
"src/comm_manager.jl","<NA-name>","mtsig","Tuple{Any}"
"src/comm_manager.jl","msg_comm","mtsig","Tuple{Comm, IJulia.Msg, Any, Any, Any, Vararg{Any}}"
"src/comm_manager.jl","send_comm","mtsig","Tuple{Comm, Dict, Dict, Vararg{Any}}"
"src/comm_manager.jl","close_comm","mtsig","Tuple{Comm, Dict, Dict, Vararg{Any}}"
"src/comm_manager.jl","register_comm","mtsig","Tuple{Comm, Any}"
"src/comm_manager.jl","comm_open","mtsig","Tuple{Any, Any}"
"src/comm_manager.jl","comm_msg","mtsig","Tuple{Any, Any}"
"src/comm_manager.jl","comm_close","mtsig","Tuple{Any, Any}"
"src/display.jl","_showable","mtsig","Tuple{AbstractVector{<:MIME}, Any}"
"src/display.jl","<NA-name>","mtsig","Tuple{Any}"
"src/display.jl","_showable","mtsig","Tuple{Any, Any}"
"src/display.jl","register_mime","mtsig","Tuple{Union{MIME, Vector{MIME}}}"
"src/display.jl","register_mime","mtsig","Tuple{AbstractVector{<:MIME}}"
"src/display.jl","register_jsonmime","mtsig","Tuple{Union{MIME, Vector{MIME}}}"
"src/display.jl","register_jsonmime","mtsig","Tuple{AbstractVector{<:MIME}}"
"src/display.jl","metadata","mtsig","Tuple{Any}"
"src/display.jl","display_mimestring","mtsig","Tuple{Vector{MIME}, Any}"
"src/display.jl","display_mimestring","mtsig","Tuple{MIME, Any}"
"src/display.jl","display_mimestring","mtsig","Tuple{MIME\"text/plain\", Any}"
"src/display.jl","display_mimejson","mtsig","Tuple{Vector{MIME}, Any}"
"src/display.jl","display_mimejson","mtsig","Tuple{MIME, Any}"
"src/display.jl","display_dict","mtsig","Tuple{Any}"
"src/display.jl","undisplay","mtsig","Tuple{Any}"
"src/display.jl","show_bt","mtsig","Tuple{IO, Symbol, Any, Any}"
"src/display.jl","<NA-name>","mtsig","Tuple{Any}"
"src/display.jl","showerror_nobt","mtsig","Tuple{Any, Any, Any}"
"src/display.jl","error_content","mtsig","Tuple{Any, Any, Symbol, AbstractString}"
"src/display.jl","<NA-name>","mtsig","Tuple{Any, Any, Any}"
"src/eventloop.jl","eventloop","mtsig","Tuple{Any}"
"src/eventloop.jl","<NA-name>","mtsig","Tuple{Any}"
"src/eventloop.jl","waitloop","mtsig","Tuple{}"
"src/execute_request.jl","execute_request","mtsig","Tuple{Any, Any}"
"src/execute_request.jl","<NA-name>","mtsig","Tuple{Any}"
"src/handlers.jl","parseok","mtsig","Tuple{Any}"
"src/handlers.jl","find_parsestart","mtsig","Tuple{Any, Any}"
"src/handlers.jl","utf16_to_ind","mtsig","Tuple{Any, Any}"
"src/handlers.jl","ind_to_utf16","mtsig","Tuple{Any, Any}"
"src/handlers.jl","chr2ind","mtsig","Tuple{Msg, String, Integer}"
"src/handlers.jl","ind2chr","mtsig","Tuple{Msg, String, Integer}"
"src/handlers.jl","complete_type","mtsig","Tuple{Type{<:Function}}"
"src/handlers.jl","complete_type","mtsig","Tuple{Type{<:Type}}"
"src/handlers.jl","complete_type","mtsig","Tuple{Type{<:Tuple}}"
"src/handlers.jl","complete_type","mtsig","Tuple{Any}"
"src/handlers.jl","complete_type","mtsig","Tuple{DataType}"
"src/handlers.jl","complete_types","mtsig","Tuple{Any}"
"src/handlers.jl","complete_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","kernel_info_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","connect_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","shutdown_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","docdict","mtsig","Tuple{AbstractString}"
"src/handlers.jl","get_token","mtsig","Tuple{Any, Any}"
"src/handlers.jl","inspect_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","history_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","is_complete_request","mtsig","Tuple{Any, Any}"
"src/handlers.jl","interrupt_request","mtsig","Tuple{Any, Any}"
"src/heartbeat.jl","heartbeat_thread","mtsig","Tuple{Ptr{Cvoid}}"
"src/heartbeat.jl","start_heartbeat","mtsig","Tuple{Any}"
"src/hmac.jl","hmac","mtsig","Tuple{Any, Any, Any, Any}"
"src/init.jl","uuid4","mtsig","Tuple{}"
"src/init.jl","__init__","mtsig","Tuple{}"
"src/init.jl","REPL.REPLDisplay","mtsig","Tuple{MiniREPL}"
"src/init.jl","init","mtsig","Tuple{Any}"
"src/init.jl","<NA-name>","mtsig","Tuple{Any}"
"src/inline.jl","israwtext","mtsig","Tuple{MIME, AbstractString}"
"src/inline.jl","israwtext","mtsig","Tuple{MIME\"text/plain\", AbstractString}"
"src/inline.jl","israwtext","mtsig","Tuple{MIME, Any}"
"src/inline.jl","InlineIOContext","mtsig","Tuple{Any, Vararg{Pair}}"
"src/inline.jl","limitstringmime","mtsig","Tuple{MIME, Any}"
"src/inline.jl","display","mtsig","Tuple{InlineDisplay, MIME{Symbol(\$mime)}, Any}"
"src/inline.jl","displayable","mtsig","Tuple{InlineDisplay, MIME{Symbol(\$mime)}}"
"src/inline.jl","display","mtsig","Tuple{InlineDisplay, MIME\"application/x-latex\", Any}"
"src/inline.jl","display","mtsig","Tuple{InlineDisplay, MIME\"text/javascript\", Any}"
"src/inline.jl","displayable","mtsig","Tuple{InlineDisplay, MIME}"
"src/inline.jl","display","mtsig","Tuple{InlineDisplay, MIME, Any}"
"src/inline.jl","display","mtsig","Tuple{InlineDisplay, Any}"
"src/inline.jl","redisplay","mtsig","Tuple{InlineDisplay, Any}"
"src/inline.jl","display","mtsig","Tuple{}"
"src/jupyter.jl","isyes","mtsig","Tuple{Any}"
"src/jupyter.jl","find_jupyter_subcommand","mtsig","Tuple{AbstractString}"
"src/jupyter.jl","<NA-name>","mtsig","Tuple{}"
"src/jupyter.jl","launch","mtsig","Tuple{Any, Any, Any}"
"src/jupyter.jl","<NA-name>","mtsig","Tuple{}"
"src/jupyter.jl","notebook","mtsig","Tuple{Any, Any}"
"src/jupyter.jl","jupyterlab","mtsig","Tuple{Any, Any}"
"src/jupyter.jl","qtconsole","mtsig","Tuple{}"
"src/magics.jl","magics_help","mtsig","Tuple{AbstractString}"
"src/magics.jl","generic_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","lsmagic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","alias_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","cd_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","debug_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","edit_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","env_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","gui_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","history_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","load_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","paste_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","matplotlib_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","pdef_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","pdoc_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","pfile_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","file_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","precision_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","prun_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","psearch_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","pwd_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","qtconsole_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","recall_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","run_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","save_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","sc_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","set_env_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","sx_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
"src/magics.jl","time_magic_help","mtsig","Tuple{AbstractString, AbstractString}"
