variable,mean,min,median,max,nmissing,sum
Error,0.0,false,0.0,false,0,0
Warning,0.0091324200913242,false,0.0,true,0,2
VarCnt,0.0547945205479452,0,0.0,1,0,12
HasWhere,0.0547945205479452,false,0.0,true,0,12
VarsUsedOnce,0.9954337899543378,false,1.0,true,0,218
UseSiteVariance,1.0,true,1.0,true,0,219
RestrictedScope,1.0,true,1.0,true,0,219
