File,Function,Kind,TypeAnnotation,Error,Warning,VarCnt,HasWhere,VarsUsedOnce,UseSiteVariance,RestrictedScope
docs/make.jl,_link_example,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/make.jl,_file_list,mtsig,"Tuple{Any, Any, Any}",false,false,0,false,true,true,true
docs/make.jl,<NA-name>,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/make.jl,<NA-name>,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/make.jl,_include_sandbox,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/make.jl,_literate_directory,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/make.jl,_add_moi_pages,mtsig,Tuple{},false,false,0,false,true,true,true
docs/make.jl,_add_to_set,mtsig,"Tuple{Any, String}",false,false,0,false,true,true,true
docs/make.jl,_add_to_set,mtsig,"Tuple{Any, Pair}",false,false,0,false,true,true,true
docs/make.jl,_add_to_set,mtsig,"Tuple{Any, Vector}",false,false,0,false,true,true,true
docs/make.jl,_validate_pages,mtsig,Tuple{},false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,_logo_no_text,mtsig,Tuple{String},false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,_jump_text_outlines,mtsig,Tuple{String},false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,logo_with_text,mtsig,"Tuple{String, String, String, Bool}",false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,logo_square,mtsig,"Tuple{String, String, Bool}",false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,logo_no_text,mtsig,"Tuple{String, String}",false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,color,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/assets/logo_constructor.jl,dark_color,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/benders_decomposition.jl,solve_subproblem,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/benders_decomposition.jl,print_iteration,mtsig,"Tuple{Any, Vararg{Any}}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/benders_decomposition.jl,f,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/benders_decomposition.jl,my_callback,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/cutting_stock_column_generation.jl,Base.show,mtsig,"Tuple{IO, Data}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/cutting_stock_column_generation.jl,get_data,mtsig,Tuple{},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/cutting_stock_column_generation.jl,solve_pricing,mtsig,"Tuple{Data, Vector{Float64}}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,generate_distance_matrix,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,build_tsp_model,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,subtour,mtsig,"Tuple{Vector{Tuple{Int, Int}}, Any}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,selected_edges,mtsig,"Tuple{Matrix{Float64}, Any}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,subtour,mtsig,Tuple{Matrix{Float64}},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,subtour,mtsig,Tuple{AbstractMatrix{VariableRef}},false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,plot_tour,mtsig,"Tuple{Any, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/algorithms/tsp_lazy_constraints.jl,subtour_elimination_callback,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,ThermalGenerator,mtsig,"Tuple{Float64, Float64, Float64, Float64}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,WindGenerator,mtsig,Tuple{Float64},false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,Scenario,mtsig,"Tuple{Float64, Float64}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,solve_ed,mtsig,"Tuple{Vector, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,scale_generator_cost,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,solve_ed_inplace,mtsig,"Tuple{Vector, Any, Any, AbstractVector{Float64}}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,scale_demand,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,solve_uc,mtsig,"Tuple{Vector, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,thermal_cost_function,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/applications/power_systems.jl,solve_nonlinear_ed,mtsig,"Tuple{Vector, Any, Any, Bool}",false,false,0,false,true,true,true
docs/src/tutorials/applications/web_app.jl,endpoint_solve,mtsig,"Tuple{Dict{String, Any}}",false,false,0,false,true,true,true
docs/src/tutorials/applications/web_app.jl,serve_solve,mtsig,Tuple{HTTP.Request},false,false,0,false,true,true,true
docs/src/tutorials/applications/web_app.jl,setup_server,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/applications/web_app.jl,<NA-name>,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/applications/web_app.jl,send_request,mtsig,"Tuple{Dict, String}",false,false,0,false,true,true,true
docs/src/tutorials/conic/cluster.jl,example_cluster,mtsig,Tuple{Any},false,false,0,false,true,true,true
docs/src/tutorials/conic/corr_sdp.jl,example_corr_sdp,mtsig,Tuple{},false,false,0,false,true,true,true
docs/src/tutorials/conic/logistic_regression.jl,generate_dataset,mtsig,"Tuple{Any, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/logistic_regression.jl,softplus,mtsig,"Tuple{Any, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/logistic_regression.jl,build_logit_model,mtsig,"Tuple{Any, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/logistic_regression.jl,build_sparse_logit_model,mtsig,"Tuple{Any, Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/logistic_regression.jl,count_nonzero,mtsig,"Tuple{Vector, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/max_cut_sdp.jl,svd_cholesky,mtsig,Tuple{AbstractMatrix},false,false,0,false,true,true,true
docs/src/tutorials/conic/max_cut_sdp.jl,solve_max_cut_sdp,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/max_cut_sdp.jl,example_max_cut_sdp,mtsig,Tuple{},false,false,0,false,true,true,true
docs/src/tutorials/conic/min_distortion.jl,example_min_distortion,mtsig,Tuple{},false,false,0,false,true,true,true
docs/src/tutorials/conic/robust_uncertainty.jl,example_robust_uncertainty,mtsig,Tuple{},false,false,0,false,true,true,true
docs/src/tutorials/conic/robust_uncertainty.jl,Γ1,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/robust_uncertainty.jl,Γ2,mtsig,"Tuple{Any, Any}",false,false,0,false,true,true,true
docs/src/tutorials/conic/start_values.jl,set_optimal_start_values,mtsig,Tuple{Model},false,false,0,false,true,true,true
docs/src/tutorials/getting_started/design_patterns_for_larger_models.jl,solve_knapsack_1,mtsig,"Tuple{Vector, Vector, Real}",false,false,0,false,true,true,true
docs/src/tutorials/getting_started/design_patterns_for_larger_models.jl,KnapsackObject,mtsig,"Tuple{Float64, Float64}",false,false,0,false,true,true,true
