File,Function,Kind,TypeAnnotation
"src/attributes.jl","Base.broadcastable","mtsig","Tuple{AbstractScene}"
"src/attributes.jl","Base.broadcastable","mtsig","Tuple{AbstractPlot}"
"src/attributes.jl","Base.broadcastable","mtsig","Tuple{Attributes}"
"src/attributes.jl","value_convert","mtsig","Tuple{Observables.AbstractObservable}"
"src/attributes.jl","value_convert","mtsig","Tuple{MACROCALL}"
"src/attributes.jl","value_convert","mtsig","Tuple{NTuple{N, Union{Any, Observables.AbstractObservable}}} where N"
"src/attributes.jl","value_convert","mtsig","Tuple{NamedTuple}"
"src/attributes.jl","node_any","mtsig","Tuple{MACROCALL}"
"src/attributes.jl","node_pairs","mtsig","Tuple{Union{Pair, Tuple{Any, Any}}}"
"src/attributes.jl","node_pairs","mtsig","Tuple{Any}"
"src/attributes.jl","Attributes","mtsig","Tuple{Vararg{Any}}"
"src/attributes.jl","Attributes","mtsig","Tuple{Vararg{Pair}}"
"src/attributes.jl","Attributes","mtsig","Tuple{AbstractVector}"
"src/attributes.jl","Attributes","mtsig","Tuple{Iterators.Pairs}"
"src/attributes.jl","Attributes","mtsig","Tuple{NamedTuple}"
"src/attributes.jl","attributes","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.keys","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.values","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.iterate","mtsig","Tuple{Attributes, Vararg{Any}}"
"src/attributes.jl","Base.copy","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.deepcopy","mtsig","Tuple{Observable}"
"src/attributes.jl","Base.deepcopy","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.filter","mtsig","Tuple{Any, Attributes}"
"src/attributes.jl","Base.empty!","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.length","mtsig","Tuple{Attributes}"
"src/attributes.jl","Base.merge!","mtsig","Tuple{Attributes, Vararg{Attributes}}"
"src/attributes.jl","Base.merge","mtsig","Tuple{Attributes, Vararg{Attributes}}"
"src/attributes.jl","hasfield","mtsig","(Tuple{T, Val{key}} where key) where T"
"src/attributes.jl","Base.getproperty","mtsig","Tuple{T, Symbol} where T <: Union{Attributes, Transformable}"
"src/attributes.jl","Base.setproperty!","mtsig","Tuple{T, Symbol, Any} where T <: Union{Attributes, Transformable}"
"src/attributes.jl","Base.getindex","mtsig","Tuple{Attributes, Symbol}"
"src/attributes.jl","Base.setindex!","mtsig","Tuple{Attributes, Any, Symbol}"
"src/attributes.jl","Base.setindex!","mtsig","Tuple{Attributes, Observable, Symbol}"
"src/attributes.jl","_indent_attrs","mtsig","Tuple{Any, Any}"
"src/attributes.jl","Base.show","mtsig","Tuple{IO, MIME\"text/plain\", Attributes}"
"src/attributes.jl","Base.show","mtsig","Tuple{IO, Attributes}"
"src/attributes.jl","theme","mtsig","Tuple{AbstractPlot}"
"src/attributes.jl","isvisible","mtsig","Tuple{Any}"
"src/attributes.jl","Base.pop!","mtsig","Tuple{AttributeOrPlot, Vararg{Any}}"
"src/attributes.jl","Base.haskey","mtsig","Tuple{AttributeOrPlot, Any}"
"src/attributes.jl","Base.delete!","mtsig","Tuple{AttributeOrPlot, Any}"
"src/attributes.jl","Base.get!","mtsig","Tuple{Function, AttributeOrPlot, Symbol}"
"src/attributes.jl","Base.get!","mtsig","Tuple{AttributeOrPlot, Symbol, Any}"
"src/attributes.jl","<NA-name>","mtsig","Tuple{}"
"src/attributes.jl","Base.get","mtsig","Tuple{Function, AttributeOrPlot, Symbol}"
"src/attributes.jl","Base.get","mtsig","Tuple{AttributeOrPlot, Symbol, Any}"
"src/attributes.jl","<NA-name>","mtsig","Tuple{}"
"src/attributes.jl","Base.getindex","mtsig","Tuple{AbstractPlot, Integer}"
"src/attributes.jl","Base.getindex","mtsig","Tuple{AbstractPlot, UnitRange{<:Integer}}"
"src/attributes.jl","Base.setindex!","mtsig","Tuple{AbstractPlot, Any, Integer}"
